,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
24,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,32,55,10,2.9538461538461536,1,0,0.86,0.14
25,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,36,54,10,3.272727272727273,1,0,0.92,0.08
28,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,44,51,10,3.8260869565217392,1,0,0.79,0.21
30,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,45,49,10,3.8028169014084505,1,0,0.6225,0.3775
31,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,46,48,10,3.8333333333333335,1,0,0.6475,0.3525
32,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,46,47,9,3.780821917808219,1,0,0.6675,0.3325
34,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,50,45,9,4.0,1,0,0.847,0.153
77,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,146,4,8,7.551724137931035,1,0,0.54,0.46
351,Rajasthan Royals,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,104,42,3,8.0,0,1,0.36,0.64
376,Mumbai Indians,Royal Challengers Bangalore,Mumbai - Wankhede Stadium,8,110,10,4.8,0,1,0.16,0.84
556,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata - Eden Gardens,72,101,5,22.736842105263158,0,1,0.3543333333333333,0.6456666666666666
755,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,15,107,9,6.923076923076923,0,1,0.31,0.69
1195,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,135,51,2,11.73913043478261,1,0,0.85,0.15
1205,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,144,41,2,10.936708860759493,1,0,0.7223333333333334,0.2776666666666667
1503,Mumbai Indians,Sunrisers Hyderabad,Mumbai - Dr DY Patil Sports Academy,14,106,8,6.0,0,1,0.43,0.57
1988,Delhi Capitals,Royal Challengers Bangalore,Delhi - Arun Jaitley Cricket Stadium,5,111,10,3.3333333333333335,1,0,0.78,0.22
2224,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,1,77,10,0.13953488372093023,1,0,0.547,0.45299999999999996
2259,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,66,79,8,9.658536585365853,1,0,0.58,0.42
